Date;Open;High;Low;Close;Volume
07/30/2019;9.4;9.4;9.4;9.4;0
07/29/2019;9.4;9.4;9.4;9.4;0
07/26/2019;9.4;9.4;9.4;9.4;0
07/25/2019;9.4;9.4;9.4;9.4;0
07/24/2019;9.4;9.4;9.4;9.4;136
07/23/2019;9.5;9.54;9.5;9.54;270
07/22/2019;9.75;9.75;9.75;9.75;0
07/19/2019;9.75;9.75;9.75;9.75;1,425
07/18/2019;9.8;9.8;9.8;9.8;0
07/17/2019;9.84;9.84;9.8;9.8;1,138
07/16/2019;10.34;10.34;10.34;10.34;0
07/15/2019;10.34;10.34;10.34;10.34;0
07/12/2019;10.34;10.34;10.34;10.34;0
07/11/2019;10.34;10.34;10.34;10.34;0
